candidate_name,candidate_party
Iftikhar Ahmad,Independents
Zahid Ali Khan,Haqiqi Group
Abdul Ghaffar Qureshi,Independents
Qayoom Shahid,Independents
Shabbir Ahmad Qaimkhani,Haq Parast Group
Haji Ghulam Rasool,Independents
Mirza Idrees Baig,Independents
Ashfaq Ahmad,Independents
Nawab M. Yousaf Talpur,Pakistan Peoples Party Parliamentarians
Pir Noor M. Shah,Pakistan Muslim League (Nawaz)
Syed Ghulam Rasool Shah,Independents
Mir Behram Ali Talpur,Independents
Maqsood Ahmad,Independents
Ghulam Mustafa,Haq Parast Group
Syed Ali Mardan Shah,Independents
Muzaffar Hussain Shah,Independents
Mir Jan M. Khan Talpur,Independents
Nawab M. Hussain,Independents
Arbab Ghulam Rahim,Pakistan Peoples Party Parliamentarians
Abdul Qadoos,Pakistan Muslim League (Nawaz)
Arbab Abdullah,Independents
Rasool Bakhsh,Independents
Arbab Attaullah,Independents
M. Manghan,Independents
Malik Asad Sikandar,Pakistan Peoples Party Parliamentarians
Pir Bakhsh,Pakistan Muslim League (Nawaz)
Javed,Independents
Hussain Bakhsh Thebo,Independents
Syed M. Shoaib Shibli,Independents
Amir Bakhsh,Independents
Qurban Ali Khoso,Independents
Idris Khan,Haq Parast Group
Rohsan Ali Burero,Independents
Hussain Shah Rashdi,Independents
Haji M. Bakhsh,Pakistan Peoples Party Parliamentarians
Mir Zafarullah Khan,Independents
Dr. Manzoor Hussain Leghari,Pakistan Muslim League (Nawaz)
Mir Murtaza Bhutto,Shaheed Bhutto Committee
Chakhar Khan,Independents
Lal Bakhsh,Independents
Nabi Bakhsh,Independents
Mumtaz Hussain Leghari,Independents
Rafiq Ahmad Jamali,Independents
Rafiq Ahmad Mahessar,Pakistan Peoples Party Parliamentarians
Abdul Hameed Khan,Pakistan Muslim League (Nawaz)
Molana Fazal-Ur-Rehman,Islami Jamhoori Mahaz
Alhaj Sadar Umar Farooq Khan,Pakistan Muslim League (Nawaz)
Fazal Karim Khan Kundi Alias Latti Khan,Independents
Jehanzeb Khan Gandapur,Independents
Gul Momin Khan,Independents
Sardar Munir Ahmad Khan Qasuria,Independents
Asmatullah Khan Mastikhel,Independents
Hamid Nawaz Khan Kundi,Independents
Haji Khuda Bakhsh,Pakistan Muslim League (Nawaz)
Makhdoom Shah Nawaz,Pakistan Peoples Party Parliamentarians
Ch. Muzaffar Khan,Independents
Haji Pir Bakhsh,Independents
M. Akhtar,Haq Parast Group
Jan Ali,Independents
Jam Mashooq Ali,Pakistan Muslim League (Nawaz)
Shah Nawaz Khan Junejo,Pakistan Peoples Party Parliamentarians
Haji Ghulam Qadir,Independents
Abdul Aziz Ghori,Pakistan Islamic Front
Faiz Muhammad,Independents
Fakir Ali Hassan,Independents
Amjad Ghori,Haqiqi Group
Soomro Abdul Razzaq,Independents
Fida Hussain Dero,Independents
Mir M. Wassan,Independents
Syed Mansoor Ali,Independents
Qadir Bakhsh,Independents
Darya Khan,Independents
M. Younas Rajput,Haq Parast Group
M. Ali Sheikh,Independents
Noor M. Junejo,Independents
Altaf Hussain Rind,Independents
M. Khan Junejo,Independents
Roshan Din Junjeo,Independents
Ghulam Hussain Alias Babu,Pakistan Peoples Party Parliamentarians
Syed Ijaz Ali Shah Sheerazi,Independents
Syed Ghulam Mustafa Shah,Independents
Mir Murtaza Bhutto,Shaheed Bhutto Committee
Syed Shafqat Hussain Shah Sheerazi,Independents
Abdur Rehman Memon,Pakistan Peoples Party Parliamentarians
Syed Ghulam Akram Shah Sheerazi,Independents
